devlist_compare,args:[i8*;i8*;],ret:i1
selected_fstype,args:[i8*;],ret:i1
excluded_fstype,args:[i8*;],ret:i1
devlist_for_dev,args:[i64;],ret:%struct.devlist*
me_for_dev,args:[i64;],ret:%struct.mount_entry*
has_uuid_suffix,args:[i8*;],ret:i1
get_field_values,args:[%struct.field_values_t*;%struct.field_values_t*;%struct.fs_usage*;],ret:void
add_to_grand_total,args:[%struct.field_values_t*;%struct.field_values_t*;],ret:void
df_readable,args:[i1;i64;i8*;i64;i64;],ret:i8*
known_value,args:[i64;],ret:i1
add_uint_with_neg_flag,args:[i64*;i8*;i64;i1;],ret:void
putchar_unlocked,args:[i32;],ret:i32
usage,args:[i32;],ret:void
emit_mandatory_arg_note,args:[],ret:void
emit_exec_status,args:[i8*;],ret:void
emit_ancillary_info,args:[i8*;],ret:void
main,args:[i32;i8**;],ret:i32
initialize_exit_failure,args:[i32;],ret:void
optc_to_fileno,args:[i32;],ret:i32
c_isspace,args:[i32;],ret:i1
parse_size,args:[i8*;i64*;],ret:i32
set_libstdbuf_options,args:[],ret:i1
set_program_path,args:[i8*;],ret:void
set_LD_PRELOAD,args:[],ret:void
c_toupper,args:[i32;],ret:i32
usage,args:[i32;],ret:void
emit_ancillary_info,args:[i8*;],ret:void
main,args:[i32;i8**;],ret:i32
initialize_exit_failure,args:[i32;],ret:void
test_syntax_error,args:[i8*;],ret:void
posixtest,args:[i32;],ret:i1
one_argument,args:[],ret:i1
two_arguments,args:[],ret:i1
three_arguments,args:[],ret:i1
advance,args:[i1;],ret:void
expr,args:[],ret:i1
unary_operator,args:[],ret:i1
beyond,args:[],ret:void
unary_advance,args:[],ret:void
get_stat_atime,args:[%struct.stat*;],ret:[2 x i64]
get_stat_mtime,args:[%struct.stat*;],ret:[2 x i64]
timespec_cmp,args:[[2 x i64];[2 x i64];],ret:i32
find_int,args:[i8*;],ret:i8*
to_uchar,args:[i8;],ret:i8
binop,args:[i8*;],ret:i1
binary_operator,args:[i1;],ret:i1
get_mtime,args:[i8*;%struct.timespec*;],ret:i1
or,args:[],ret:i1
and,args:[],ret:i1
term,args:[],ret:i1
blake2b_init_param,args:[%struct.blake2b_state__*;%struct.blake2b_param__*;],ret:i32
blake2b_init0,args:[%struct.blake2b_state__*;],ret:void
load64,args:[i8*;],ret:i64
blake2b_init,args:[%struct.blake2b_state__*;i64;],ret:i32
store32,args:[i8*;i32;],ret:void
memset.inline,args:[i8*;i32;i64;],ret:i8*
blake2b_init_key,args:[%struct.blake2b_state__*;i64;i8*;i64;],ret:i32
memcpy.inline,args:[i8*;i8*;i64;],ret:i8*
blake2b_update,args:[%struct.blake2b_state__*;i8*;i64;],ret:i32
secure_zero_memory,args:[i8*;i64;],ret:void
blake2b_increment_counter,args:[%struct.blake2b_state__*;i64;],ret:void
blake2b_compress,args:[%struct.blake2b_state__*;i8*;],ret:void
blake2b_final,args:[%struct.blake2b_state__*;i8*;i64;],ret:i32
blake2b_is_lastblock,args:[%struct.blake2b_state__*;],ret:i32
blake2b_set_lastblock,args:[%struct.blake2b_state__*;],ret:void
store64,args:[i8*;i64;],ret:void
blake2b,args:[i8*;i64;i8*;i64;i8*;i64;],ret:i32
blake2,args:[i8*;i64;i8*;i64;i8*;i64;],ret:i32
rotr64,args:[i64;i32;],ret:i64
blake2b_set_lastnode,args:[%struct.blake2b_state__*;],ret:void
usage,args:[i32;],ret:void
emit_stdin_note,args:[],ret:void
emit_mandatory_arg_note,args:[],ret:void
emit_ancillary_info,args:[i8*;],ret:void
main,args:[i32;i8**;],ret:i32
ptr_align,args:[i8*;i64;],ret:i8*
bad_cast,args:[i8*;],ret:i8*
digest_check,args:[i8*;],ret:i1
digest_file,args:[i8*;i32*;i8*;i8*;i64*;],ret:i1
output_file,args:[i8*;i32;i8*;i1;i1;i8;i1;i64;],ret:void
